tanggal,judul,link
2021-10-20,[SALAH] Video Pidato Anthony Fauci Mengembangkan Virus Influenza Baru,https://covid19.go.id/p/hoax-buster/salah-video-pidato-anthony-fauci-mengembangkan-virus-influenza-baru
2021-10-20,[SALAH] Judul Berita ITV tentang Seorang Pria Bersedia Divaksin setelah Membuat Tiga Orang Temannya Meninggal karena Covid-19,https://covid19.go.id/p/hoax-buster/salah-judul-berita-itv-tentang-seorang-pria-bersedia-divaksin-setelah-membuat-tiga-orang-temannya-meninggal-karena-covid-19
2021-10-19,Awas Hoaks: Maskapai Penerbangan Internasional Melarang Penumpang yang Sudah Divaksinasi untuk Melakukan Perjalanan Penerbangan,https://covid19.go.id/p/hoax-buster/awas-hoaks-maskapai-penerbangan-internasional-melarang-penumpang-yang-sudah-divaksinasi-untuk-melakukan-perjalanan-penerbangan
2021-10-18,"[SALAH] Sinovac Tidak Manjur, China Pindah ke Pfizer dan Moderna",https://covid19.go.id/p/hoax-buster/salah-sinovac-tidak-manjur-china-pindah-ke-pfizer-dan-moderna
2021-10-18,[SALAH] Balita divaksin “Upaya Menuju Pemusnahan Massal Umat Islam”,https://covid19.go.id/p/hoax-buster/salah-balita-divaksin-upaya-menuju-pemusnahan-massal-umat-islam
2021-10-15,[SALAH] Pilot Pesawat Maskapai Delta Meninggal setelah Divaksin,https://covid19.go.id/p/hoax-buster/salah-pilot-pesawat-maskapai-delta-meninggal-setelah-divaksin
2021-10-15,[SALAH] Kasus Positif Covid-19 di Surabaya Naik,https://covid19.go.id/p/hoax-buster/salah-kasus-positif-covid-19-di-surabaya-naik
2021-10-15,[SALAH] Dana Bantuan Kesehatan & Modal Usaha dari Pusat BPJS Kesehatan,https://covid19.go.id/p/hoax-buster/salah-dana-bantuan-kesehatan-modal-usaha-dari-pusat-bpjs-kesehatan
2021-10-14,[SALAH] Darah Orang yang Divaksin Covid-19 Menjadi Tidak Normal dan Tidak Bisa Donor Darah,https://covid19.go.id/p/hoax-buster/salah-darah-orang-yang-divaksin-covid-19-menjadi-tidak-normal-dan-tidak-bisa-donor-darah
2021-10-13,Awas Hoaks Ribuan Orang di Indonesia Meninggal Dunia setelah Vaksin COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-ribuan-orang-di-indonesia-meninggal-dunia-setelah-vaksin-covid-19
2021-10-12,Awas Hoaks Uni Eropa Hentikan Vaksin COVID-19 Mulai 20 Oktober 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-uni-eropa-hentikan-vaksin-covid-19-mulai-20-oktober-2021
2021-10-10,[SALAH] CDC Amerika Serikat Memperingatkan Adanya Penyakit Mirip Polio yang Akan Muncul Pada Akhir Tahun 2021,https://covid19.go.id/p/hoax-buster/salah-cdc-amerika-serikat-memperingatkan-adanya-penyakit-mirip-polio-yang-akan-muncul-pada-akhir-tahun-2021
2021-10-10,[SALAH]: Situs Pedulilindungiq.com dan Minta Dana Rp1 Juta Untuk Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-situs-pedulilindungiqcom-dan-minta-dana-rp1-juta-untuk-vaksin-covid-19
2021-10-09,[SALAH] Penampakan Protes Wajib Vaksin di Melbourne Tahun 2021,https://covid19.go.id/p/hoax-buster/salah-penampakan-protes-wajib-vaksin-di-melbourne-tahun-2021
